"maturity","ci_pbid","ci_pask","ci_pmid"
2024-02-15,99.614,99.629,99.6215
2024-05-15,98.339,98.363,98.351
2024-08-15,97.207,97.247,97.227
2024-11-15,96.405,96.453,96.429
2025-02-15,95.255,95.28,95.2675
2025-05-15,94.199,94.262,94.2305
2025-08-15,93.429,93.507,93.468
2025-11-15,92.346,92.443,92.3945
2026-02-15,91.401,91.496,91.4485
2026-05-15,90.542,90.642,90.592
2026-08-15,89.693,89.789,89.741
2026-11-15,88.906,89.013,88.9595
2027-02-15,88.027,88.163,88.095
2027-05-15,87.207,87.331,87.269
2027-08-15,86.294,86.475,86.3845
2027-11-15,85.532,85.663,85.5975
2028-02-15,84.701,84.851,84.776
2028-05-15,83.853,83.999,83.926
2028-08-15,83.027,83.171,83.099
2028-11-15,82.176,82.359,82.2675
2029-02-15,81.35,81.505,81.4275
2029-05-15,80.466,80.631,80.5485
2029-08-15,79.542,79.7,79.621
2029-11-15,78.72,78.898,78.809
2030-02-15,77.824,77.992,77.908
2030-05-15,76.95,77.127,77.0385
2030-08-15,76.138,76.323,76.2305
2030-11-15,75.38,75.558,75.469
2031-02-15,74.64,74.818,74.729
2031-05-15,73.782,73.975,73.8785
2031-08-15,72.959,73.153,73.056
2031-11-15,72.188,72.411,72.2995
2032-02-15,71.363,71.594,71.4785
2032-05-15,70.573,70.789,70.681
2032-08-15,69.732,69.947,69.8395
2032-11-15,68.949,69.186,69.0675
2033-02-15,68.112,68.34,68.226
2033-05-15,67.318,67.564,67.441
2033-08-15,66.539,66.771,66.655
2033-11-15,65.755,65.987,65.871
2034-02-15,65.007,65.248,65.1275
2034-05-15,64.236,64.487,64.3615
2034-08-15,63.467,63.734,63.6005
2034-11-15,62.731,62.984,62.8575
2035-02-15,61.956,62.229,62.0925
2035-05-15,61.21,61.489,61.3495
2035-08-15,60.483,60.759,60.621
2035-11-15,59.742,60.009,59.8755
2036-02-15,59.013,59.254,59.1335
2036-05-15,58.285,58.55,58.4175
2036-08-15,57.587,57.849,57.718
2036-11-15,56.869,57.141,57.005
2037-02-15,56.13,56.401,56.2655
2037-05-15,55.386,55.646,55.516
2037-08-15,54.708,54.981,54.8445
2037-11-15,54.02,54.281,54.1505
2038-02-15,53.26,53.525,53.3925
2038-05-15,52.518,52.783,52.6505
2038-08-15,51.83,52.126,51.978
2038-11-15,51.127,51.476,51.3015
2039-02-15,50.458,50.771,50.6145
2039-05-15,49.729,50.043,49.886
2039-08-15,49.042,49.348,49.195
2039-11-15,48.354,48.676,48.515
2040-02-15,47.648,47.97,47.809
2040-05-15,47.015,47.331,47.173
2040-08-15,46.323,46.629,46.476
2040-11-15,45.643,45.954,45.7985
2041-02-15,45.084,45.385,45.2345
2041-05-15,44.46,44.776,44.618
2041-08-15,43.788,44.127,43.9575
2041-11-15,43.25,43.583,43.4165
2042-02-15,42.764,43.072,42.918
2042-05-15,42.274,42.599,42.4365
2042-08-15,41.725,42.021,41.873
2042-11-15,41.256,41.581,41.4185
2043-02-15,40.808,41.098,40.953
2043-05-15,40.293,40.609,40.451
2043-08-15,39.837,40.12,39.9785
2043-11-15,39.418,39.687,39.5525
2044-02-15,38.927,39.202,39.0645
2044-05-15,38.537,38.844,38.6905
2044-08-15,38.115,38.414,38.2645
2044-11-15,37.621,37.896,37.7585
2045-02-15,37.193,37.493,37.343
2045-05-15,36.793,37.078,36.9355
2045-08-15,36.354,36.645,36.4995
2045-11-15,35.94,36.248,36.094
2046-02-15,35.481,35.772,35.6265
2046-05-15,35.047,35.33,35.1885
2046-08-15,34.634,34.925,34.7795
2046-11-15,34.226,34.493,34.3595
2047-02-15,33.884,34.172,34.028
2047-05-15,33.492,33.785,33.6385
2047-08-15,33.16,33.463,33.3115
2047-11-15,32.769,33.072,32.9205
2048-02-15,32.438,32.736,32.587
2048-05-15,32.093,32.367,32.23
2048-08-15,31.833,32.069,31.951
2048-11-15,31.52,31.802,31.661
2049-02-15,31.26,31.537,31.3985
2049-05-15,30.956,31.2,31.078
2049-08-15,30.758,31.036,30.897
2049-11-15,30.501,30.833,30.667
2050-02-15,30.329,30.598,30.4635
2050-05-15,30.072,30.346,30.209
2050-08-15,29.852,30.129,29.9905
2050-11-15,29.664,29.943,29.8035
2051-02-15,29.413,29.692,29.5525
2051-05-15,29.215,29.521,29.368
2051-08-15,29.088,29.424,29.256
2051-11-15,28.955,29.36,29.1575
2052-02-15,28.877,29.236,29.0565
2052-05-15,28.832,29.226,29.029
2052-08-15,28.763,29.248,29.0055
2052-11-15,28.792,29.24,29.016
2053-02-15,28.57,29.061,28.8155
2053-05-15,28.322,28.955,28.6385
2053-08-15,28.213,28.856,28.5345
