"maturity","sp_pbid","sp_pask","sp_pmid"
2024-02-15,99.609,99.625,99.617
2024-05-15,98.309,98.45,98.3795
2024-08-15,97.098,97.237,97.1675
2024-11-15,96.485,96.594,96.5395
2025-02-15,95.044,95.323,95.1835
2025-05-15,94.137,94.317,94.227
2025-08-15,93.493,93.629,93.561
2025-11-15,92.293,92.517,92.405
2026-02-15,91.486,91.637,91.5615
2026-05-15,90.645,90.822,90.7335
2026-08-15,89.836,90.003,89.9195
2026-11-15,89.003,89.229,89.116
2027-02-15,88.282,88.435,88.3585
2027-05-15,87.219,87.509,87.364
2027-08-15,86.457,86.621,86.539
2027-11-15,85.748,85.925,85.8365
2028-02-15,84.806,85.028,84.917
2028-05-15,83.979,84.19,84.0845
2028-08-15,83.381,83.632,83.5065
2028-11-15,82.407,82.678,82.5425
2029-02-15,81.6,81.81,81.705
2029-08-15,79.856,79.935,79.8955
2030-05-15,77.325,77.554,77.4395
2030-11-15,75.086,77.045,76.0655
2031-02-15,75.578,75.815,75.6965
2036-02-15,61.801,62.064,61.9325
2037-02-15,59.121,59.288,59.2045
2037-05-15,58.263,58.428,58.3455
2038-02-15,55.886,56.045,55.9655
2038-05-15,54.863,54.998,54.9305
2039-02-15,52.903,53.058,52.9805
2039-05-15,52.173,52.334,52.2535
2039-08-15,51.539,51.701,51.62
2039-11-15,50.801,50.971,50.886
2040-02-15,50.302,50.395,50.3485
2040-05-15,49.426,49.582,49.504
2040-08-15,48.568,48.73,48.649
2040-11-15,48.027,48.19,48.1085
2041-02-15,47.59,47.754,47.672
2041-05-15,46.748,46.895,46.8215
2041-08-15,46.019,46.18,46.0995
2041-11-15,45.239,45.395,45.317
2042-02-15,44.663,44.818,44.7405
2042-05-15,44.03,44.185,44.1075
2042-08-15,43.417,43.556,43.4865
2042-11-15,42.915,43.044,42.9795
2043-02-15,42.388,42.529,42.4585
2043-05-15,41.941,42.075,42.008
2043-08-15,41.485,41.602,41.5435
2043-11-15,40.987,41.119,41.053
2044-02-15,40.482,40.609,40.5455
2044-05-15,39.978,40.143,40.0605
2044-08-15,39.572,39.74,39.656
2044-11-15,38.711,38.861,38.786
2045-02-15,38.646,38.796,38.721
2045-05-15,38.15,38.332,38.241
2045-08-15,37.726,37.9,37.813
2045-11-15,37.339,37.52,37.4295
2046-02-15,36.869,37.026,36.9475
2046-05-15,36.445,36.583,36.514
2046-08-15,36.037,36.178,36.1075
2046-11-15,35.638,35.776,35.707
2047-02-15,35.216,35.356,35.286
2047-05-15,34.847,34.987,34.917
2047-08-15,34.5,34.648,34.574
2047-11-15,34.164,34.32,34.242
2048-02-15,33.856,33.958,33.907
2048-05-15,33.466,33.606,33.536
2048-08-15,33.171,33.316,33.2435
2048-11-15,32.863,32.982,32.9225
2049-02-15,32.567,32.693,32.63
2049-05-15,32.314,32.438,32.376
2049-08-15,32.118,32.237,32.1775
2049-11-15,31.875,31.99,31.9325
2050-02-15,31.589,31.701,31.645
2050-05-15,31.325,31.436,31.3805
2050-08-15,31.014,31.138,31.076
2050-11-15,30.765,30.873,30.819
2051-02-15,30.49,30.607,30.5485
2051-05-15,30.216,30.35,30.283
2051-08-15,30.038,30.164,30.101
2051-11-15,29.836,29.956,29.896
2052-02-15,29.637,29.755,29.696
2052-05-15,29.495,29.618,29.5565
2052-08-15,29.316,29.446,29.381
2052-11-15,29.582,29.59,29.586
2053-02-15,29.063,29.177,29.12
2053-05-15,28.69,28.878,28.784
2053-08-15,28.815,28.956,28.8855
