maturity,pbid,pask
2020-02-15,99.869,99.876
2020-05-15,99.513,99.526
2020-08-15,99.048,99.102
2021-02-15,98.254,98.328
2021-05-15,97.918,97.986
2021-08-15,97.489,97.563
2021-11-15,97.112,97.198
2022-02-15,96.692,96.887
2022-05-15,96.36,96.519
2022-08-15,96.042,96.16
2022-11-15,95.707,95.853
2023-02-15,95.329,95.466
2023-08-15,94.445,94.623
2024-02-15,93.559,94.01
2024-05-15,93.18,93.489
2024-11-15,92.495,92.668
2025-02-15,92.101,92.292
2025-08-15,91.227,91.465
2026-02-15,90.388,90.644
2026-08-15,89.535,89.833
2026-11-15,89.138,89.403
2027-02-15,88.718,89.036
2027-08-15,87.886,88.176
2027-11-15,87.413,87.746
2028-08-15,85.888,86.217
2028-11-15,85.387,85.781
2029-02-15,84.959,85.377
2029-08-15,84.291,84.699
2030-05-15,83.021,83.457
2031-02-15,81.647,82.154
2036-02-15,72.501,73.023
2037-02-15,71.026,71.504
2037-05-15,70.614,71.083
2038-02-15,69.086,69.563
2038-05-15,68.538,69.03
2039-02-15,66.756,67.26
2039-05-15,66.235,66.735
2039-08-15,65.805,66.307
2039-11-15,65.212,65.653
2040-02-15,64.772,65.329
2040-05-15,64.156,64.782
2040-08-15,63.48,64.051
2040-11-15,63.003,63.563
2041-02-15,62.64,63.229
2041-05-15,62.021,62.585
2041-08-15,61.449,62.027
2041-11-15,60.935,61.501
2042-02-15,60.469,61.104
2042-05-15,59.994,60.526
2042-08-15,59.636,60.144
2042-11-15,59.124,59.687
2043-02-15,58.702,59.278
2043-05-15,58.315,58.908
2043-08-15,57.961,58.517
2043-11-15,57.578,58.175
2044-02-15,57.189,57.694
2044-05-15,56.802,57.434
2044-08-15,56.443,57.022
2044-11-15,56.105,56.714
2045-02-15,55.791,56.375
2045-05-15,55.447,56.106
2045-08-15,55.145,55.791
2045-11-15,54.954,55.547
2046-02-15,54.568,55.162
2046-05-15,54.25,54.802
2046-08-15,53.938,54.572
2046-11-15,53.793,54.393
2047-02-15,53.567,54.17
2047-05-15,53.12,53.707
2047-08-15,52.782,53.492
2047-11-15,52.451,53.084
2048-02-15,52.137,52.89
2048-05-15,51.938,52.49
2048-08-15,51.58,52.338
2048-11-15,51.439,52.177
2049-02-15,51.146,51.589
2049-05-15,50.824,51.313
2049-08-15,50.481,51.165
2049-11-15,50.192,50.893
